species	lineage	count
Linum_usitatissimum	TORK/TAR	20
Setaria_italica	ANGELA	20
Begonia_fuchsioides	ORYCO/IVANA	20
Argania_spinosa	ORYCO/IVANA	20
Striga_asiatica	BIANCA	20
Boswellia_sacra	SIRE	20
Kewa_caespitosa	TAT	20
Ipomoea_nil	ORYCO/IVANA	20
Gossypium_hirsutum	ANGELA	20
Elaeis_oleifera	ORYCO/IVANA	20
Beta_vulgaris	ORYCO/IVANA	20
Actinidia_deliciosa	ATHILA	20
Phaseolus_vulgaris	ALE/RETROFIT	20
Lycopersicon_esculentum	BIANCA	20
Zea_mays	ANGELA	19
Hordeum_vulgare	REINA	19
Arabidopsis_lyrata_subsp_lyrata	TORK/TAR	19
Eschscholzia_californica_subsp_californica	ORYCO/IVANA	19
Boehmeria_nivea	DEL/TEKAY	19
Marchantia_polymorpha	TORK/TAR	19
Pterocarya_stenoptera	TAT	19
Begonia_fuchsioides	ALE/RETROFIT	19
Solanum_clarkiae	TORK/TAR	19
Kewa_caespitosa	REINA	19
Microtea_debilis	ALE/RETROFIT	19
Sesamum_indicum	ALE/RETROFIT	19
Eucalyptus_grandis	ORYCO/IVANA	19
Medicago_truncatula	SIRE	19
Cucumis_sativus	REINA	19
Hevea_brasiliensis	TAT	19
Aethionema_arabicum	TORK/TAR	19
Eutrema_salsugineum	ALE/RETROFIT	19
Beta_vulgaris	SIRE	19
Lotus_japonicus	BIANCA	19
Phaseolus_vulgaris	SIRE	19
Brachypodium_distachyon	ANGELA	18
Ricinus_communis	DEL/TEKAY	18
Arabis_alpina	ORYCO/IVANA	18
Durio_zibethinus	GALADRIEL	18
Fagus_sylvatica	REINA	18
Casuarina_equisetifolia_subsp_incana	ORYCO/IVANA	18
Oenanthe_javanica	TORK/TAR	18
Toxicodendron_radicans	ALE/RETROFIT	18
Chenopodium_pallidicaule	TORK/TAR	18
Drosera_capensis	ORYCO/IVANA	18
Actinidia_deliciosa	ORYCO/IVANA	18
Prunus_avium	TORK/TAR	18
Citrullus_lanatus	ALE/RETROFIT	18
Theobroma_cacao	TAT	18
Phyllostachys_edulis	CRM	18
Beta_vulgaris	BIANCA	18
Fraxinus_excelsior	REINA	18
Arabidopsis_lyrata_subsp_lyrata	CRM	17
Gossypium_raimondii	DEL/TEKAY	17
Eucalyptus_camaldulensis	ALE/RETROFIT	17
Setaria_italica	CRM	17
Arabis_alpina	BIANCA	17
Selaginella_tamariscina	ATHILA	17
Persea_americana_var_drymifolia	CRM	17
Toxicodendron_radicans	REINA	17
Aquilaria_sinensis	TORK/TAR	17
Hypericum_perforatum	ORYCO/IVANA	17
Boswellia_sacra	REINA	17
Pharnaceum_exiguum	ALE/RETROFIT	17
Hevea_brasiliensis	REINA	17
Brachypodium_distachyon	SIRE	16
Schrenkiella_parvula	ALE/RETROFIT	16
Fragaria_vesca	ORYCO/IVANA	16
Picea_abies	SIRE	16
Amborella_trichopoda	DEL/TEKAY	16
Gossypium_raimondii	ALE/RETROFIT	16
Nelumbo_nucifera	ORYCO/IVANA	16
Macleaya_cordata	TAT	16
Solanum_clarkiae	DEL/TEKAY	16
Betula_pendula	CRM	16
Nymphaea_colorata	DEL/TEKAY	16
Eutrema_salsugineum	BIANCA	16
Eutrema_salsugineum	SIRE	16
Cannabis_Sativa	REINA	16
Eucalyptus_grandis	TAT	16
Citrus_sinensis	ATHILA	16
Panicum_virgatum	ATHILA	16
Panicum_virgatum	DEL/TEKAY	16
Nicotiana_sylvestris	REINA	16
Capsicum_annuum	CRM	16
Lycopersicon_esculentum	GALADRIEL	16
Oryza_sativa	CRM	15
Selaginella_moellendorffii	ATHILA	15
Fragaria_vesca	BIANCA	15
Pyrus_x_bretschneideri	ORYCO/IVANA	15
Arabidopsis_thaliana	SIRE	15
Arabis_alpina	DEL/TEKAY	15
Macleaya_cordata	DEL/TEKAY	15
Fagopyrum_tataricum	ORYCO/IVANA	15
Argania_spinosa	DEL/TEKAY	15
Fagus_sylvatica	CRM	15
Casuarina_equisetifolia_subsp_incana	SIRE	15
Platycodon_grandiflorus	BIANCA	15
Eucalyptus_pauciflora	ORYCO/IVANA	15
Rhizophora_apiculata	TORK/TAR	15
Betula_pendula	ATHILA	15
Musa_schizocarpa	ALE/RETROFIT	15
Carthamus_tinctorius	ALE/RETROFIT	15
Drosera_capensis	ALE/RETROFIT	15
Actinidia_deliciosa	CRM	15
Hevea_brasiliensis	CRM	15
Citrus_sinensis	REINA	15
Mimulus_guttatus	ATHILA	15
Hevea_brasiliensis	TORK/TAR	15
Citrus_sinensis	SIRE	15
Leavenworthia_alabamica	REINA	15
Eragrostis_tef	REINA	15
Hordeum_vulgare	SIRE	15
Brassica_rapa	BIANCA	14
Schrenkiella_parvula	REINA	14
Morus_notabilis	TORK/TAR	14
Punica_granatum	ANGELA	14
Punica_granatum	TORK/TAR	14
Begonia_fuchsioides	SIRE	14
Begonia_fuchsioides	DEL/TEKAY	14
Datisca_glomerata	TORK/TAR	14
Anthoceros_angustus	TORK/TAR	14
Vitis_labrusca	ORYCO/IVANA	14
